Identificador de URL;Nombre;Categorías;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
ad-tostada;Ad Tostada;Adicionales;600.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-syrup;Ad Syrup;Adicionales;500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-shot;Ad Shot;Adicionales;1,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-remolacha;Ad Remolacha;Adicionales;700.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-queso-crema;Ad Queso Crema;Adicionales;1,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-panceta;Ad Panceta;Adicionales;1,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-palta;Ad Palta;Adicionales;1,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-mila;Ad Mila;Adicionales;2,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-mermelada;Ad Mermelada;Adicionales;1,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-leche-avena;Ad Leche Avena;Adicionales;500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-leche-almendra;Ad Leche Almendra;Adicionales;1,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-huevo;Ad Huevo;Adicionales;700.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-crema-batida;Ad Crema Batida;Adicionales;1,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ad-cherry;Ad Cherry;Adicionales;700.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
torta-de-nuez-con-ddl-y-chantilly;Torta de Nuez con DDL y Chantilly;Tortas y Lingotes;9,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
torta-matilda-individual;Torta Matilda Individual;Tortas y Lingotes;11,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Bizcocho de Chocolate, relleno de Ganache de Choco.;;;;;SI;;;;
torta-coca-individual;Torta Coca Individual;Tortas y Lingotes;9,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Bizcocho, Dulce de Leche, Bizcocho, crema chantilly y frutos rojos.;;;;;SI;;;;
rogel-de-dulce-de-leche-y-merengue;Rogel de Dulce de Leche y Merengue;Tortas y Lingotes;8,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Masa rogel, Dulce de leche y Merengue.;;;;;SI;;;;
red-velvet-individual;Red Velvet Individual;Tortas y Lingotes;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
opera-de-pistacho;Opera de Pistacho;Tortas y Lingotes;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
marquise-con-ddl-y-chantilly;Marquise con DDL y Chantilly;Tortas y Lingotes;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
macarrons-individuales;Macarrons Individuales;Tortas y Lingotes;2,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
lemon-pie-individual;Lemon Pie Individual;Tortas y Lingotes;8,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
key-lime-pie-individual;Key Lime Pie Individual;Tortas y Lingotes;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
espuma-de-limon;Espuma De Limon;Tortas y Lingotes;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
chesse-cake-vasca-individual;Chesse Cake Vasca Individual;Tortas y Lingotes;11,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
chesse-cake-ny-individual;Chesse Cake NY Individual;Tortas y Lingotes;8,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
carrot-cake-individual;Carrot Cake Individual;Tortas y Lingotes;9,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
apple-crumble-individual;Apple Crumble Individual;Tortas y Lingotes;8,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
scons-dulces;Scons Dulces;Bolleria y Panificados;4,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;2 Scons Dulce con dip de mermelada.;;;;;SI;;;;
scon-de-queso;Scon De Queso;Bolleria y Panificados;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
scon-con-j-y-q;Scon Con J y Q;Bolleria y Panificados;7,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
pepa-de-membrillo;Pepa de Membrillo;Bolleria y Panificados;1,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Manteca, Azucar Imapalpable, huevo. Polvo de Hornear. Harina 0000, Sal.;;;;;SI;;;;
pan-de-chocolate;Pan de Chocolate;Bolleria y Panificados;5,300.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
pan-sin-tacc;Pan Sin Tacc;Bolleria y Panificados;7,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
pan-de-molde;Pan De Molde;Bolleria y Panificados;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
medialuna-con-j-y-q;Medialuna Con J y Q;Bolleria y Panificados;8,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
medialuna;Medialuna;Bolleria y Panificados;2,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
fosforitos;Fosforitos;Bolleria y Panificados;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
danesa;Danesa;Bolleria y Panificados;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
croissant-veggie;Croissant Veggie;Bolleria y Panificados;6,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Brie, Cherry Confitado y Rucula.;;;;;SI;;;;
croissant-serrana;Croissant Serrana;Bolleria y Panificados;14,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Queso Brie, Crudo, Rucula y Cherrys Confitados.;;;;;SI;;;;
croissant-con-nutella;Croissant Con Nutella;Bolleria y Panificados;7,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
croissant-con-j-y-q;Croissant Con J y Q;Bolleria y Panificados;8,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Jamón y Queso.;;;;;SI;;;;
croissant-breakfast;Croissant Breakfast;Bolleria y Panificados;8,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Huevos Revueltos, Rucula y Cherry Confitado.;;;;;SI;;;;
croissant;Croissant;Bolleria y Panificados;3,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
mini-alfajores-x3;Mini Alfajores x3;Cookies, Budines y Alfajores;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Opciones: Almendra, Maicena, Coco.;;;;;SI;;;;
